t,x,y,z,v_x,v_y,v_z,ekt,v_magnitude,theta_f,phi
8.0,4.963601112,0.607958138,31.705209732,0.601066351,-0.736390471,0.537393689,2.8753749255633836,1.0919448983630473,60.518428440271535,309.22246496486196
38.200001,5.862962246,5.945765972,31.253217697,-0.695888579,-0.472867459,0.070257649,1.718941681561049,0.8442752426826,85.22652429780554,214.1967370841077
8.4,2.536074638,0.519123852,33.053943634,-0.836537421,0.205961049,0.830019772,3.451258350444798,1.1963058272655214,46.06681473282299,166.16849821385188
7.4,3.447214842,5.463769436,34.020545959,1.393353224,0.106668591,1.088925242,7.568761055110965,1.7716008517162882,52.073065006771124,4.377757346744829
16.200001,3.401905775,2.804449081,32.753677368,0.166153729,0.297566324,0.342435747,0.5628877954459796,0.48313043752482254,44.86383110935702,60.82208149322952
8.6,4.87403059,5.821902752,32.633392334,-0.416251391,0.029175408,0.811965585,2.009781730218077,0.912909927739749,27.19882630577916,175.99064794788762
14.9,0.71978581,0.928874493,33.004550934,0.104326487,-0.81733197,0.733428895,2.934432978427293,1.1031017673337138,48.326977932417556,277.27405552441553
8.9,0.877439499,4.425717831,32.892539978,-0.171693444,-0.079921469,0.649351597,1.1033327576016208,0.6764048909093943,16.25932684718746,204.96147620957794
9.2,0.993026912,3.308791637,33.994247437,0.774874568,1.377047062,0.768574119,7.4453528465901675,1.7570985696575605,64.0611954083415,60.633220423008595
13.1,1.779065251,1.06789875,33.388103485,-0.028077427,-0.493541181,0.606924176,1.4776136651341822,0.7827695667711501,39.16278488501908,266.743967913202
8.8,3.369920731,4.759180069,31.90905571,0.268131375,-0.077232487,0.504091084,0.8005493230872126,0.5761658721895031,28.966125640081437,343.9314978418924
9.8,1.19954145,5.930558681,34.710643768,-0.080855966,0.138076723,0.881329954,1.9348815237043868,0.8957373256093853,10.29019276409144,120.35269496468845
8.2,1.818547726,0.46817705,34.376144409,1.012791276,0.225100309,1.08537972,5.436715646627708,1.5014877470165655,43.70809603055819,12.530725864125827
12.9,3.608444214,0.369340867,32.104259491,0.158142507,0.026823463,0.409969956,0.46736434916600983,0.4402316611855619,21.367979079778927,9.626647524013265
7.5,0.840309858,0.314830005,35.478515625,-0.168988854,0.183119655,1.348898172,4.537578015958273,1.3717202044325563,10.466126965006934,132.7018419086686
14.8,4.751393318,0.146774307,33.422088623,0.18682754,0.386765599,0.72819376,1.7236625568688797,0.8454338001140113,30.53425344472605,64.21708441051459
8.3,3.315486431,1.501139522,32.006080627,-0.672791541,-0.586886346,0.624746442,2.8634342162754995,1.0896752532539435,55.01704725906898,221.09868832288166
9.4,0.539588511,2.076417208,32.273895264,0.017223144,0.331713945,0.566406727,1.0397256630082998,0.6566181221894202,30.388855077806674,87.02777607888527
54.700001,2.465510368,4.87751627,31.208528519,-0.217946842,-0.251346767,0.050245859,0.2729870401095163,0.33645307186259,81.41132682238975,229.0709129634211
7.7,2.205038071,0.649820864,32.49753952,0.107716188,-0.798976719,0.780985534,3.0383012074919775,1.1224548895071558,45.910319136492625,277.6781883553697
16.4,2.015054941,2.997758627,32.466976166,-0.500520051,-0.179549769,0.363395452,1.0003389234576117,0.6440610961199879,55.651500155484044,199.7342516927993
13.7,0.896654904,4.66744709,32.584949493,-0.065296978,-0.070127912,0.457027614,0.52584868841319,0.4669645161422281,11.841163005871051,227.0430130005107
7.8,4.835635662,4.973876476,31.95331955,-0.560849786,-0.046621598,0.712122321,1.9867268082270848,0.907658667078515,38.319016936005625,184.75188453999252
49.0,0.384240806,3.418796778,31.267827988,-0.556417763,-0.598307669,0.055378303,1.6172687537474382,0.8189258514720961,86.1225228482111,227.07760452708456
